X,Y,wkt_geom,fid,UUID,MS_CD,EU_CD,VISS_MS_CD,SJONAMN,SJOID,CATEGORY,HARO,DAROID_UT,DISTRICT,COMP_AUTH,COUNTRY,WB,VERSION,URL_VISS,SHAPE_Leng,GVatten,G_EU_CD,G_MS_CD,centroid_x,centroid_y
19.32585131,64.71054203,Point (706072.88818041956983507 7183233.92563840560615063),5412,SE5C8C2045-8C76-4CC8-A66D-C7CC0404BE42,WA33810368,SE718134-166885,SE718134-166885,Manjaurträsket,718134-166885,LW,28000,718401-166755,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA33810368,11541.63091,N,,,706073,7183234
17.99127274,64.8807109,Point (641646.02640558278653771 7198509.12572977133095264),5411,SEF9F296D5-16B1-43D5-936D-CEDCDD6145F7,WA93403717,SE718116-161684,SE718116-161684,Rusfors Dämningsområde,718116-161684,LW,28000,718916-161050,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA93403717,290161.2309,N,,,641646,7198509
14.81500697,64.73183921,Point (491188.85527303873095661 7178582.32594624999910593),5410,SE265ED70E-7132-4462-BA01-FF4AAD537BE6,WA79933232,SE718102-145313,SE718102-145313,Vuole-Krönekenjaure,718102-145313,LW,38000,718146-145258,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA79933232,1575.42519,N,,,491189,7178582
16.52498225,64.75671594,Point (572560.6311228513950482 7182215.12502510379999876),5409,SE0947E44A-8B1B-417E-8873-9E8021D2A753,WA54261403,SE718100-153534,SE718100-153534,Nästansjön,718100-153534,LW,38000,718121-153537,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA54261403,34408.36142,N,,,572561,7182215
21.14420722,64.63898587,Point (793288.20234960713423789 7182450.08451969735324383),5408,SE4C34945B-CBBA-4838-B902-5D453E0709AC,WA84049666,SE718076-175528,SE718076-175528,Holmsjön,718076-175528,LW,21000,718125-175531,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA84049666,2792.442235,N,,,793288,7182450
18.11284872,64.73971284,Point (648171.70173493982292712 7183087.98616237286478281),5423,SED535D349-26C6-4DF3-9C6F-CE801640CD98,WA16755039,SE718255-161209,SE718255-161209,Rusträsket,718255-161209,LW,28000,718080-648803,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA16755039,30367.25393,N,,,648172,7183088
21.21572691,64.64479341,Point (796629.72640395001508296 7183427.80273320246487856),5422,SEE73D20E8-CFC1-4D1A-8FC2-246659508981,WA57490229,SE718235-175826,SE718235-175826,Burötjärnen,718235-175826,LW,20021,718211-175837,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA57490229,1160.79227,N,,,796630,7183428
20.812183,64.66400756,Point (777218.94693252735305578 7183732.60201235767453909),5421,SEF1875A5D-6421-49B5-9137-BE86ADAB45BE,WA23669138,SE718233-173960,SE718233-173960,Gummarksträsket,718233-173960,LW,21000,718417-173639,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA23669138,4265.288467,N,,,777219,7183733
14.78855219,64.74529946,Point (489934.47402192553272471 7180086.288572046905756),5420,SE21B653C3-7CAB-4FCE-966D-6A7B113CFE3F,WA21795166,SE718220-145133,SE718220-145133,Guoletsjaure,718220-145133,LW,38000,718195-145076,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA21795166,4137.638136,N,,,489934,7180086
14.51819364,64.75628797,Point (477072.66957383102271706 7181381.10581001825630665),5419,SE1BCB1B23-7134-4E3E-8047-5F953A03836F,WA46389443,SE718193-143966,SE718193-143966,Friningen,718193-143966,LW,38000,718393-143873,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA46389443,11734.56136,N,,,477073,7181381
20.7698545,64.65863019,Point (775259.03114050580188632 7182951.15279195923358202),5418,SEAAD27EE5-29A7-4FB8-86F8-E905BAC238F4,WA18716255,SE718165-173748,SE718165-173748,Hemvattnet,718165-173748,LW,21000,718259-173454,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA18716255,2673.524261,N,,,775259,7182951
17.12656731,64.73029555,Point (601276.60637816018424928 7180097.21037324983626604),5417,SE56D22902-84E7-42B8-B10E-13DD67020257,WA60254240,SE718156-156107,SE718156-156107,Bäsksjön,718156-156107,LW,38000,718205-156147,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA60254240,11070.85429,N,,,601277,7180097
