X,Y,Stationsnamn,Stationskoordinat N/X,Stationskoordinat E/Y,MD-MVM Id,EU id,MS_CD C3
17.8485268759725,60.0115727742834,Sävjaån Ingvasta,6656120,658796,164,SE665649-161397,WA73538296
13.8161724510831,55.6456139957828,Tolångaån Tolånga,6167274,425495,173,SE617027-137477,WA78517976
24.1310357598379,65.8754685454289,Torne älv Mattila,7336315,915269,18978,SE733351-187900,NA
22.6395412483791,65.937876902893,Töre älv Infl.Bölträsket,7334144,846887,36,SE733222-181059,NA
20.0491762061029,63.8531224788395,Ume älv Stornorrfors,7090468,748065,18981,SE708979-170865,NA
14.8970400361629,60.4827108881079,V. Dalälven Mockfjärd,6705176,494341,166,SE670757-145007,WA83495266
14.5207808180909,65.4433225319368,Vapstälven,7257948,477777,221,SE726075-144043,WA32889936
17.6635023929956,66.478045197652,Viepsajåkkå,7375724,618591,205,SE737675-158280,WA56061050
19.2911468192767,64.5762116524601,Vindelälven Maltbrännan,7168178,705435,168,SE716805-166700,WA54087504
16.4704313365456,57.3463754140993,Virån,6356900,588490,218,SE635805-154005,WA35243626
12.309062986812,57.2393717986796,Viskan Åsbro,6347240,337607,18976,SE635136-128895,NA
16.4365868235568,62.4523949251709,Viskansbäcken,6925403,574122,200,SE692688-153260,WA30601332
16.4674934816765,58.7430055447059,Vretaån,6512366,584934,216,SE651360-153835,WA39935042
18.19704167943,57.4808083046239,"Västergarnsån, Liffedarve",6375420,691660,184,SE637535-164346,WA23701054
18.3042271663855,63.433162457568,Västersel,7038105,664828,191,SE703847-162474,WA43699279
16.5485077851801,58.7439171923933,"Ålbergaån, Kila",6512573,589620,189,SE651375-154304,WA51800039
17.2641453310566,63.1717178132988,Ångermanälven Sollefteå,7006732,613993,18983,SE700773-157350,NA
12.4946385753994,56.9031291294278,"Ätran, Falkenberg",6309398,347429,40,SE631338-129833,NA
19.5960070677542,63.7023261626767,Öre älv Torrböle,7072014,727041,18973,SE707160-168739,NA
11.6858743846659,58.4603630166491,Örekilsälven Munkedal,6484733,306674,32,SE648930-125964,NA
22.2309439827964,66.6389453200089,Övre Lansjärv,7409665,819373,187,SE740810-178405,NA
