Stationsnamn,StationsID,VattenförekomstID,Typ,Vattenmiljö,Region,long,lat
Stormyrbäcken,SE690530-152405,WA15165797,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.26798186,62.25942694
Storselsån,SE707204-161537,WA13229699,Vattendrag,Sjöar och Vattendrag,Norra Sverige,18.56763805,63.63928002
"Svartberget, C7",SE713297-169256,WA27120760,Vattendrag,Sjöar och Vattendrag,Norra Sverige,19.77789453,64.25128231
Svedån Sved,SE643455-140114,WA44293011,Vattendrag,Sjöar och Vattendrag,Södra Sverige,14.13216242,58.02400462
Tolångaån Tolånga,SE617027-137477,WA78517976,Vattendrag,Sjöar och Vattendrag,Södra Sverige,13.81617245,55.645614
Töre älv Infl.Bölträsket,SE733222-181059,,Vattendrag,Flodmynningar,Norra Sverige,22.63954125,65.9378769
Torne älv Mattila,SE733351-187900,,Vattendrag,Flodmynningar,Norra Sverige,24.13103576,65.87546855
Tosthultsån,SE625442-141314,WA87719053,Vattendrag,Sjöar och Vattendrag,Södra Sverige,14.35424404,56.3239698
Trösälven,SE659564-142727,WA27353528,Vattendrag,Sjöar och Vattendrag,Södra Sverige,14.51768426,59.35595352
Ume älv Stornorrfors,SE708979-170865,,Vattendrag,Flodmynningar,Norra Sverige,20.04917621,63.85312248
V. Dalälven Mockfjärd,SE670757-145007,WA83495266,Vattendrag,Sjöar och Vattendrag,Norra Sverige,14.89704004,60.48271089
Vapstälven,SE726075-144043,WA32889936,Vattendrag,Sjöar och Vattendrag,Norra Sverige,14.52078082,65.44332253
"Västergarnsån, Liffedarve",SE637535-164346,WA23701054,Vattendrag,Sjöar och Vattendrag,Södra Sverige,18.19704168,57.4808083
Västersel,SE703847-162474,WA43699279,Vattendrag,Sjöar och Vattendrag,Norra Sverige,18.30422717,63.43316246
Verkaån,SE617710-138599,WA82206081,Vattendrag,Sjöar och Vattendrag,Södra Sverige,14.19689065,55.72414385
Viepsajåkkå,SE737675-158280,WA56061050,Vattendrag,Sjöar och Vattendrag,Norra Sverige,17.66350239,66.4780452
Vindelälven Maltbrännan,SE716805-166700,WA54087504,Vattendrag,Sjöar och Vattendrag,Norra Sverige,19.29114682,64.57621165
Vingån,SE673303-133869,WA97449813,Vattendrag,Sjöar och Vattendrag,Norra Sverige,12.92250446,60.68884093
Virån,SE635805-154005,WA35243626,Vattendrag,Sjöar och Vattendrag,Södra Sverige,16.47043134,57.34637541
Viskan Åsbro,SE635136-128895,,Vattendrag,Flodmynningar,Södra Sverige,12.30906299,57.2393718
Viskansbäcken,SE692688-153260,WA30601332,Vattendrag,Sjöar och Vattendrag,Norra Sverige,16.43658682,62.45239493
Vretaån,SE651360-153835,WA39935042,Vattendrag,Sjöar och Vattendrag,Södra Sverige,16.46749348,58.74300554
