Stationsnamn,StationsID,VattenförekomstID,Typ,Vattenmiljö,Region,long,lat
Lillsjön,SE655380-155738,WA21110270,Sjö,Sjöar och Vattendrag,Södra Sverige,16.80647933,59.101733
Stora Envättern,SE655605-158820,WA98720344,Sjö,Sjöar och Vattendrag,Södra Sverige,17.34494777,59.11664663
N. Yngern,SE656206-159170,WA84246238,Sjö,Sjöar och Vattendrag,Södra Sverige,17.408631,59.16986156
Röttleån Röttle,SE643092-141875,WA40015043,Sjö,Sjöar och Vattendrag,Södra Sverige,14.43131454,57.99499122
Gagnån,SE643205-140046,WA61963298,Sjö,Sjöar och Vattendrag,Södra Sverige,14.12171175,58.00140483
St. Lummersjön,SE644463-139986,WA97718019,Sjö,Sjöar och Vattendrag,Södra Sverige,14.10621026,58.1141704
Orrnäsån Ödeshög,SE645625-143105,WA80264969,Sjö,Sjöar och Vattendrag,Södra Sverige,14.63162769,58.22397892
Ålebäcken,SE646330-143190,,Sjö,Sjöar och Vattendrag,Södra Sverige,14.64384027,58.2879368
Hjoån Utl. Vättern,SE646546-141100,WA79326117,Sjö,Sjöar och Vattendrag,Södra Sverige,14.29010899,58.30263894
Jungfrun NV,SE648694-143413,WA11665077,Sjö,Sjöar och Vattendrag,Södra Sverige,14.67542417,58.50038988
Älgarydssjön,SE633989-140731,WA35245623,Sjö,Sjöar och Vattendrag,Södra Sverige,14.27271703,57.17569258
Stengårdshultasjön,SE638317-138010,WA51402516,Sjö,Sjöar och Vattendrag,Södra Sverige,13.80204162,57.55777465
Munksjöns utlopp,SE640750-140230,WA72189945,Sjö,Sjöar och Vattendrag,Södra Sverige,14.16793691,57.78155146
Huskvarnaån Vättern,SE640881-140842,WA11382900,Sjö,Sjöar och Vattendrag,Södra Sverige,14.26522422,57.79453077
Edeskvarnaån NV,SE642140-140640,WA11665077,Sjö,Sjöar och Vattendrag,Södra Sverige,14.22632606,57.90712114
Hökesån,SE642260-139876,WA33304329,Sjö,Sjöar och Vattendrag,Södra Sverige,14.09700438,57.91622056
Knipån Kvarnekulla,SE642517-139895,WA85766605,Sjö,Sjöar och Vattendrag,Södra Sverige,14.09912668,57.93932102
Hjärtsjön,SE632515-146675,WA78510341,Sjö,Sjöar och Vattendrag,Södra Sverige,15.2573361,57.05149908
Tångerdasjön,SE637120-145525,WA66779230,Sjö,Sjöar och Vattendrag,Södra Sverige,15.0595434,57.46398453
Tängersjö,SE637121-151366,WA18431640,Sjö,Sjöar och Vattendrag,Södra Sverige,16.03284091,57.46609333
Fjärasjö,SE638725-146677,WA41982859,Sjö,Sjöar och Vattendrag,Södra Sverige,15.24929754,57.60909313
Hökesjön,SE639047-149701,WA75730914,Sjö,Sjöar och Vattendrag,Södra Sverige,15.75515303,57.63921534
Skärgölen,SE640609-148673,WA91168817,Sjö,Sjöar och Vattendrag,Södra Sverige,15.58217274,57.77928036
Glimmingen,SE642122-148744,WA33559863,Sjö,Sjöar och Vattendrag,Södra Sverige,15.57054096,57.93826869
Svartesjön,SE630558-134327,,Sjö,Sjöar och Vattendrag,Södra Sverige,13.23620875,56.85051003
Harasjön,SE632231-136476,WA20819678,Sjö,Sjöar och Vattendrag,Södra Sverige,13.57921446,57.00739037
Skärsjön,SE633344-130068,WA12885229,Sjö,Sjöar och Vattendrag,Södra Sverige,12.51730959,57.08398532
Nässjön,NW634160-133385,WA70761118,Sjö,Sjöar och Vattendrag,Södra Sverige,13.06737,57.17232
Hagasjön,SE635878-137392,WA64825705,Sjö,Sjöar och Vattendrag,Södra Sverige,13.71142536,57.33724664
